Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/7/1941,Pájaro Herido,Vals,Instrumental,Odeon,78rpm,Esteban Parma,Amadeo Raffo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/21/1941,Picante,Milonga,Instrumental,Odeon,78rpm,José Padula,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/21/1941,Didí,Tango,Instrumental,Odeon,78rpm,Roberto Firpo,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/3/1941,No Puede Ser,Tango,Alberto Lago,Odeon,78rpm,Juan Howard; Marcos Larrosa,Julio Nelson,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/3/1941,Marcheta (Marquitta),Vals,Instrumental,Odeon,78rpm,Víctor Schertzinger,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/16/1942,Arrebato,Tango,Alberto Lago,Odeon,78rpm,Oscar Valpreda,Gerónimo Sureda,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/20/1942,Bélgica,Tango,Instrumental,Odeon,78rpm,Enrique Delfino,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,2/2/1942,Sentimiento Gaucho,Tango,Instrumental,Odeon,78rpm,Rafael Canaro; Francisco Canaro,Juan Caruso,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,2/2/1942,Te Odio,Tango,Alberto Lago,Odeon,78rpm,Francisco Pracánico,Celedonio Flores,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/15/1942,La Cumparsita,Tango,Jorge Ortiz,Odeon,78rpm,Gerardo Rodríguez,Enrique Maroni,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,4/15/1942,Calla Corazón,Tango,Jorge Ortiz,Odeon,78rpm,Enrique Delfino,Mario Rada,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/22/1942,Amor Y Vals,Vals,Alberto Lago,Odeon,78rpm,Rodolfo Biagi,Carlos Bahr,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,5/22/1942,Metido (Enamorado),Tango,Alberto Lago,Odeon,78rpm,Príncipe Cubano,Príncipe Cubano,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
