Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/24/1976,Cambalache,Tango,Isabel De Angelis,Odeón,Tape-S,Enrique Discépolo,Enrique Santos Discépolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/24/1976,Canaro En París,Tango,,Odeón,Tape-S,Alejandro Scarpino; Juan Caldarella,José Antonio Scarpino,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/24/1976,Pero no vienes,Tango,Carlos Aguirre,Odeón,Tape-S,Alfredo Franco,Alfredo Juan Acerenza,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,9/24/1976,Por una cabeza,Tango,Carlos Aguirre,Odeón,Tape-S,Carlos Gardel,Alfredo Le Pera,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1/21/1977,Así se baila el tango,Tango,Isabel De Angelis,Odeón,Tape-S,Elías Randal,Marvil (Elizardo Martínez Vilas),,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Américo Pinelli, Julio Pizzorni, Benigno Noval","Wenceslao Cinosi, Ángel Vilar, Simón Broitman, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1/21/1977,El día que me quieras,Tango,Ruben Amendola,Odeón,Tape-S,Carlos Gardel,Alfredo Le Pera,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Américo Pinelli, Julio Pizzorni, Benigno Noval","Wenceslao Cinosi, Ángel Vilar, Simón Broitman, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1/21/1977,En tu pecho muere una rosa,Tango,Ruben Amendola,Odeón,Tape-S,Alfredo Angelis,Elizardo Martínez Vilas,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Américo Pinelli, Julio Pizzorni, Benigno Noval","Wenceslao Cinosi, Ángel Vilar, Simón Broitman, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1/21/1977,Tecleando,Tango,Instrumental,Odeón,Tape-S,Carlos Figari,,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Carlos Cubría, Américo Pinelli, Julio Pizzorni, Benigno Noval","Wenceslao Cinosi, Ángel Vilar, Simón Broitman, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,1980-00-00,Alas azules,Tango,,Microfón,Tape-S,Alfredo Angelis,"Isabel ""Gigi"" de Angelis",,Microfón + Columbia (1980-85),Alfredo De Angelis,Mario Montagna,"Ángel Di Giovanni, Nicolás Paracino, Oscar Barrios, Héctor Silva, Gigí De Angelis (electric organ)","Eduardo Massara, Rodolfo Defino, Miguel Taboada, Luis Paz "
Alfredo De Angelis,Orquesta Alfredo De Angelis,1980-00-00,Alma de bohemio,Tango,,Microfón,Tape-S,Roberto Firpo,Juan Andrés Caruso,,Microfón + Columbia (1980-85),Alfredo De Angelis,Mario Montagna,"Ángel Di Giovanni, Nicolás Paracino, Oscar Barrios, Héctor Silva, Gigí De Angelis (electric organ)","Eduardo Massara, Rodolfo Defino, Miguel Taboada, Luis Paz "
