Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Edgardo Donato y sus Muchachos,4/9/1932,En Mi Jardín,Vals,Luis Díaz,Brunswick,78rpm,Juan Maglio,Alfredo Bigeschi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/9/1932,"Perdoénalo, Señor",Tango,Instrumental,Brunswick,78rpm,?,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,9/14/1932,Taco Largo,Tango,Teófilo Ibáñez,Brunswick,78rpm,Rafael Bulfy,Nicolás A. Trimani,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,12/9/1932,El Huracán,Tango,Félix Gutiérrez,Victor,78rpm,Osvaldo Donato; Edgardo Donato,Manuel López,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/21/1933,Pobre Soñador,Tango,Félix Gutiérrez,Victor,78rpm,Edgardo Donato, Julio Romero,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/13/1933,La Novena,Tango,Félix Gutiérrez,Victor,78rpm,Miguel Bonano, A Bigeschi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/13/1933,Veneración,Vals,Instrumental,Victor,78rpm,Edgardo Donato, A H Vedani,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,9/11/1933,El Acomodo,Tango,Instrumental,Victor,78rpm,Edgardo Donato,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/31/1933,Santa Milonguita,Tango,Félix Gutiérrez,Victor,78rpm,E Delfino, E Cadícamo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/29/1933,Penas,Vals,Félix Gutiérrez,Victor,78rpm,Edgardo Donato,Máximo Orsi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita,  Ascanio Donato (cello)"
