Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,5/27/1946,Sin Lágrimas,Tango,Roberto Chanel,Odeón,78rpm,Charlo,José Contursi,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/13/1946,El Tábano,Tango,Instrumental,Odeón,78rpm,Armando Baliotti; César Ginzo,Mario Gomila,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/21/1946,Vayan Saliendo,Tango,Instrumental,Odeón,78rpm,Victor Donato,Juan Velich,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/31/1946,No Me Escribas,Tango,Alberto Morán,Odeón,78rpm,Agustín Bardi,Juan Caruso,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/31/1946,Tiempo,Tango,Roberto Chanel,Odeón,78rpm,Osvaldo Ruggiero,Francisco Jiménez,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/21/1946,La Yumba,Tango,Instrumental,Odeón,78rpm,Osvaldo Pugliese,,,46-51 / Pugliesean Style ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/21/1946,Mal De Amores,Tango,Instrumental,Odeón,78rpm,Pedro Laurenz,,,46-51 / Pugliesean Style ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/8/1946,La Mascota Del Barrio,Tango,Roberto Chanel,Odeón,78rpm,Abel Aznar,Reinaldo Yiso,,46-51 / Pugliesean Style ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/8/1946,Una Vez,Tango,Alberto Morán,Odeón,78rpm,Osvaldo Pugliese,Cátulo Castillo,,46-51 / Pugliesean Style ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,12/20/1946,Mirando La Lluvia,Tango,Chanel y Morán,Odeón,78rpm,Adolfo Avilés,Leopoldo Ríos,,46-51 / Pugliesean Style ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
