Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Juan D'Arienzo,10/29/1959,No Me Vengas Con Cuentos,Tango,Mario Bustos,Víctor,Tape,Carlos Lázzari),Mario Álvarez,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Pasajera,Tango,Jorge Valdez,Víctor,Tape,Domingo Sciaraffía,Carmelo Volpe,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Pero Solo Estoy Mejor,Tango,Mario Bustos,Víctor,Tape,Carlos Lázzari,Julio Curi,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Quién Como Yo,Tango,Jorge Valdez,Víctor,Tape,Juan Castro,Carlos Bahr,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,10/29/1959,Y No Puedo Comprender,Tango,Mario Bustos,Víctor,Tape,Enrique Alessio,Reinaldo Ghiso,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1959,Judas,Tango,Mario Bustos,Víctor,Tape,Carlos Marchisio,Carmelo Santiago,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1959,Por La Vuelta,Tango,Jorge Valdez,Víctor,Tape,José Tinelli,Enrique Cadícamo,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1959,Por Qué Te Sigo Queriendo,Tango,Jorge Valdez,Víctor,Tape,Josefina Fuente; Leopoldo Vélez; Roberto Rufino,Leopoldo Vélez; Roberto Rufino,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/12/1959,Ríe Payaso,Tango,Mario Bustos,Víctor,Tape,Virgilio Carmona,Emilio Falero,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/19/1959,Amar Para Qué,Tango,Jorge Valdez,Víctor,Tape,Enrique Alessio,Enrique Lary,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/19/1959,De Los Dos,Vals,Jorge Valdez,Víctor,Tape,Héctor Stamponi,Federico Silva,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/20/1959,Con Alma De Tango,Tango,Instrumental,Víctor,Tape,Juan D'Arienzo,Carlos Waiss,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/20/1959,Engañadora,Milonga,Instrumental,Víctor,Tape,Enrique Alessio,Carlos Lázzari,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/20/1959,Munyinga,Milonga,Instrumental,Víctor,Tape,Orlando Romanelli,Antonio Casciani,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/20/1959,Tapado Gris,Tango,Instrumental,Víctor,Tape,Benjamín García),Lito Ferrari,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,11/26/1959,La Perfumada Flor,Vals,Jorge Valdez,Víctor,Tape,Juan Polito,Enrique Dizeo,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
