Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,4/29/1943,Que Me Quiten Lo Bailado,Tango,Alberto Castillo,Víctor,78rpm,Miguel Bucino,Miguel Bucino,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,5/7/1943,Barajando Recuerdos,Tango,Alberto Castillo,Víctor,78rpm,Luis Visca,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,5/7/1943,Bailongo De Los Domingos,Tango,Alberto Castillo,Víctor,78rpm,Antonio Arona,Francisco Jiménez,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/6/1943,Muchachos Comienza La Ronda,Tango,Enrique Campos,Víctor,78rpm,Luis Porcell,Leopoldo Vélez,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/6/1943,Al Pasar,Vals,Enrique Campos,Víctor,78rpm,José Iglesias,Juan Gatti,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/6/1943,Vieja Esquina,Tango,Enrique Campos,Víctor,78rpm,Mario Perini,Roberto Lambertucci,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/6/1943,Por Eso Canto Yo,Tango,Enrique Campos,Víctor,78rpm,Juan Puey,Reinaldo Yiso,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/19/1943,Palomita Mía,Tango,Enrique Campos,Víctor,78rpm,Carlos Viván,Horacio Sanguinetti,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/19/1943,Así Se Canta,Tango,Enrique Campos,Víctor,78rpm,Elías Randal,Elizardo Vilas,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,10/5/1943,"Dos Palabras, Por Favor",Tango,Enrique Campos,Víctor,78rpm,Luis Visca,Luis Rubistein,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,10/5/1943,Que Bien Te Queda,Tango,Enrique Campos,Víctor,78rpm,Vicente Salerno,Juan Mazzaroni,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,11/17/1943,Oigo Tu Voz,Tango,Enrique Campos,Víctor,78rpm,Mario Canaro,Francisco Jiménez,,43-46 / Campos ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
